Comuna,Estacion_Cercana,Distancia_km
San Joaquín,"Quinta Normal, Santiago",8.282162205041699
San Miguel,"Quinta Normal, Santiago",6.93260162689583
San Ramón,"Aguas Andinas, La Florida",10.436439093364829
Independencia,"Quinta Normal, Santiago",3.913954670733335
La Cisterna,"Quinta Normal, Santiago",9.673953251920098
Peñalolén,"Eulogio SÃ¡nchez, Tobalaba Ad.",4.222925248585564
Providencia,"Eulogio SÃ¡nchez, Tobalaba Ad.",7.518646902103777
La Reina,"Eulogio SÃ¡nchez, Tobalaba Ad.",1.6012744452739822
Calera de Tango,Talagante,8.3943717803244
Colina,Colina (Reg.),4.268094442447428
Santiago,"Quinta Normal, Santiago",3.0614680303627453
Lampa,Pudahuel Santiago ,14.75297994177444
Pirque,RÃ­o Clarillo,1.5661602649231487
Puente Alto,"Aguas Andinas, La Florida",5.226994426975832
Huechuraba,"Quinta Normal, Santiago",10.636691512536176
San Bernardo,"El Milagro, Buin",14.612460850580707
Curacaví,CuracavÃ­ Ad.,10.920232702943759
María Pinto,Chorombo Hacienda,4.05851093447295
Cerrillos,"Quinta Normal, Santiago",6.911045012670173
Cerro Navia,San Pablo - DASA,2.2339896541916087
Vitacura,"Eulogio SÃ¡nchez, Tobalaba Ad.",8.845968857184497
Conchalí,"Quinta Normal, Santiago",6.860427878640229
El Bosque,"Quinta Normal, Santiago",13.081604141397412
Estación Central,"Quinta Normal, Santiago",2.9289044740050643
La Florida,"Aguas Andinas, La Florida",2.0764396649827264
La Granja,"Aguas Andinas, La Florida",8.29470231672486
La Pintana,"Aguas Andinas, La Florida",10.892827173789847
Las Condes,"Eulogio SÃ¡nchez, Tobalaba Ad.",6.4965251784198825
Lo Barnechea,El Colorado,10.052968694224544
Lo Espejo,"Quinta Normal, Santiago",8.406684788275097
Lo Prado,San Pablo - DASA,2.6845152839776705
Macul,"Eulogio SÃ¡nchez, Tobalaba Ad.",6.847030312464046
Maipú,San Pablo - DASA,10.027693338493787
Ñuñoa,"Eulogio SÃ¡nchez, Tobalaba Ad.",5.568969170559004
Pedro Aguirre Cerda,"Quinta Normal, Santiago",5.253581959365315
Pudahuel,Pudahuel Santiago ,8.989730532867071
Quilicura,Pudahuel Santiago ,6.341567542438355
Quinta Normal,"Quinta Normal, Santiago",2.809167219932646
Recoleta,"Quinta Normal, Santiago",6.51467076981563
Renca,San Pablo - DASA,4.963801339208902
El Monte,El Paico,5.126797363246228
Padre Hurtado,Talagante,12.747944334713555
Peñaflor,Talagante,8.209406536365519
Talagante,Talagante,5.270159009349422
Paine,"El Milagro, Buin",12.118650398590184
Isla de Maipo,El Paico,8.320215355410417
Buin,"El Milagro, Buin",2.883246231723733
San José de Maipo,San JosÃ©  GuayacÃ¡n,29.86284579093438
Tiltil,Lo Pinto,27.835058883049907
Melipilla,El Paico,21.16627051783262
San Pedro,Chorombo Hacienda,51.01209537966179
Alhué,El Paico,37.72299435947393
